職缺名稱,公司名稱,工作地點,薪資範圍,職缺連結,發布日期,截止日期,工作經歷,學歷要求,擅長工具,工作技能,工作內容,職務類別
[Part Time] 研究助理/資料分析師,美商IQVIA _艾昆緯藥品資訊股份有限公司,台北市松山區,"月薪31,520~36,050元",https://www.104.com.tw/job/7rebn?jobsource=joblist_bact_n,2025/03/11,,經歷不拘,大學,R; Excel; Word; SAS; SPSS,未提供,"主要負責醫院臨床資料庫研究執行並協助相關行政事宜。依照研究文件進行資料分析、結果整理、進度追蹤與報告、數據的彙整及檢誤等。
*依照案件需求外派駐點",市場調查／市場分析; 其他醫療從業人員
數據應用工程師,聯經數位股份有限公司,新北市汐止區,未提供,https://www.104.com.tw/job/8nf2t?jobsource=joblist_list,2025/03/10,,經歷不拘,大學,R; SQL; Looker; Python,未提供,"針對部門制定的集團數據中台系統發展策略，提供專業技術執行能力，以最佳專業、效率、協調及溝通能力支援各事業體單位，運用數據系統相關服務，並尋找合適之內、外部夥伴進行需求訪談、計劃、開發、測試、維運、檢討等技術作業，為部門創造更高經營績效。

【工作內容】
1.有效提供部門技術支援，協助溝通、評估、規劃、開發及管理各項數據系統相關之發展計劃以達部門要求目標。
2.有效提供部門技術支援，協助製定數據系統相關作業程序及辦法。並確保系統穩定性、資料安全性、準確性及適用性能滿足各需求單位需求。
3.有效提供部門技術支援，透過專業技術或工具進行資料清理、結構化、分析，及呈現，友善各需求單位取得數據加以應用。
4.隨時掌握數據系統工程之產業最新知識、技術、應用及趨勢。
5.其它主管交辦事項。

【必要條件】
1.熟悉基礎 SQL 語法與 Bigquery 進階用法，能做有效之高端應用。
2.具備基礎 Python 開發能力。

【加分條件】
1. 提案與簡報技巧、清晰邏輯思考與表達能力。
2. 具備 GA4 Bigquery等源資料 (Raw Data) 萃取/清理經驗者佳。
3. 具備 Google Looker Studio 開發設計經驗者佳。
4. 具備媒體或相關產業的網站用戶行為，數據處理工程經驗者佳。

【面試需知】
需進行約45分鐘的基礎與進階SQL筆試，不限任何作答形式。",系統分析師; 數據分析師; 資料工程師
資料分析師,北方國際有限公司,新北市八里區,"月薪30,000~45,000元",https://www.104.com.tw/job/773rq?jobsource=joblist_list,2025/03/05,,2年以上,大學,Excel; Outlook; PowerPoint; Word; 中文打字50~75,未提供,"1.以EXCEL建置數據資料庫。
2.配合需求製作各項EXCEL報表及圖表。 
3.數據及資料統計分析，提出異常報告。
4. 透由分析結果協助公司進行決策驗證成效。 
5. 規劃各項資料（如：調查資料）之處理程序，製作各種表格並指導運算工作。
6. 整理、檢視、分析資料，並撰寫結果報告。
",市場調查／市場分析; 統計學研究員
數據分析師 (內容策展驗證與數據應用),聯經數位股份有限公司,新北市汐止區,"月薪38,000~48,000元",https://www.104.com.tw/job/7u4o2?jobsource=joblist_list,2025/03/11,,3年以上,大學,未提供,未提供,"【工作執掌】
１. 集團新聞單位和垂直業態事業單位之數據專案規劃、執行、進度追蹤、風險控管及資源協調。
２. 簡報提案：協助目標合作事業單位數據應用需求缺口，依此設計/探詢內部落地解決方案。
３. 應用驗證：規劃新數據/數位科技解決方案導入以提升各種應用效率 (含作業流程、導入後之應用維運、)。
４. 專案與例行績效會議執行、專案文件統計管理，並定期向上呈報專案進度。
５. 集團內外策略合作夥伴之跨域溝通協調 (包含記者、編輯、行銷、業務、商業分析師、資料科學家、資料工程師…等)。

註：該職務，會依實際求職者之相關工作經歷議定薪資。",產品企劃; 其他專案管理師
"【數位金融】數位分析 Data Analyst(數數發中心, DDT)_I00001000",國泰世華商業銀行股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/87xhh?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,學歷不拘,R,預算編製與成本控管; 賣場／門市營運計畫與管理; 負責文件更新、發行、審核與跟催作業,"|工作內容
About us
國泰金控為臺灣服務客戶數最多的領先金融服務業者，致力於成為亞洲最佳金融機構。旗下的國泰世華銀行，為全臺灣數位服務用戶數的領先銀行，其數位銀行部更是國泰金控數位轉型之重要推動引擎，致力於打造優質、創新的數位金融服務。部門團隊由各領域菁英所組成，成員背景多元，橫跨金融產業、管理顧問、網路科技、時尚旅遊、數位行銷及新創科技等各領域。你將有機會共同實現數位新世代前所未有的可能。我們廣納優秀的專業人才，也打造開放溝通的工作環境。因為我們相信，唯有在開放式的團隊文化，才激得起最熱烈的革命火花。

金融科技已在改變世界，加入國泰世華銀行，你將有機會改變臺灣金融發展史。

|主要職責
Who we are looking for
數位金融商業分析師 — 數位銀行團隊
你是一位熱愛解讀數據的人，擅長從複雜的資訊中找出關鍵洞察，並能將這些洞察轉化為實際的商業策略。你不僅是個數據專家，更是個故事講述者，能把冰冷的數字變成引人入勝的商業敘事。
你對金融科技充滿熱情，渴望在傳統銀行業注入創新思維。你習慣跨團隊協作，喜歡在腦力激盪中提出突破性想法，並有能力將這些想法轉化為可執行的計畫。
如果這些描述讓你產生共鳴，那麼你很可能就是我們正在尋找的人才。

|關於這份工作
這不只是一份分析數據的工作，而是重新定義數位金融的旅程。你將運用來自多元產品、服務及數位平台的商業洞察，與跨單位團隊協作，共同突破現有市場框架。
你的日常會包括：
•	數據指標建立：透過數據驅動建立重點業務指標，運用工具將觀測指標視覺化動態呈現，供團隊靈活運用。
•	用戶行為分析：分析CUBE Web、CUBE App用戶行為數據，找出數位金融商業模式及增長機會點，達成商業決策或提升業務執行效率。
•	結構化問題解決：有架構地以數據協助團隊拆解問題，並提出洞察、建議改善與發展方向。
•	數位產品/服務效益追蹤：追蹤與分析各產品/服務經營成效。

|希望你擁有的特質 （不限學歷背景，關鍵是你的思維方式與能力）
你的同事或夥伴會這麼描述你：
•	數據思維敏銳：能從複雜的數據中找出關鍵洞察，並轉化為商業價值。
•	溝通力強：善於將複雜的數據分析簡化為清晰易懂的敘述。
•	協作性高：樂於與跨部門團隊合作，共同尋找最佳解決方案。
•	創新思考者：不畏挑戰傳統思維，敢於提出突破性想法。

你會這麼描述自己：
•	對金融科技充滿熱情，渴望參與數位金融的創新與變革。
•	喜歡不斷嘗試新任務，並從中找到樂趣與成長。
•	熱愛觀察數據，善於從中提煉出具體且有價值的建議。
•	擁有結構化思考能力，能將複雜問題拆解為可管理的部分。

這份工作能帶給你什麼
•	參與金融創新的第一線：你的工作將直接影響數位金融的未來發展。
•	全方位的發展與培訓：從加入的第一天起，我們提供完整的產品知識訓練。
•	自主學習資源：可根據需求參加集團與知名企業合作的問題解決、數據分析、使用者體驗等課程，包含不定期系列講座、實戰工作坊。
•	外部進修補助：若內部課程無法滿足需求，可申請外部進修，最高可獲全額補助。
•	多元職涯發展路徑：有機會接觸不同業務部門，深入探索感興趣的專業領域。

|如何應徵 
為加速履歷審核流程，請直接投遞至DigiInterview@cathaybk.com.tw，若您符合上述職缺需求，我們會於7個工作天內與你聯繫，謝謝!
",數據分析師
數位行銷數據分析專員,里德科訊股份有限公司,高雄市苓雅區,"月薪35,000~55,000元",https://www.104.com.tw/job/8n6jo?jobsource=joblist_bact_n,2025/03/11,,2年以上,大學,ChatGPT; SEO; Google Analytics; Google關鍵字廣告; Google Tag Manager; Google Data Studio,數據分析; 廣告投放; 網站流量成效追蹤,"我們正在尋找對於數據分析充滿熱情的數位行銷數據分析專員，歡迎您成為團隊一份子！

1.了解基礎Google ads、Meta廣告投放
2.了解基礎GA、GSC數據追蹤與分析
3.根據公司的業務需求進行數據建模和預測分析
4.將數據分析結果呈現成多種形式，如報告、圖表等
5.週報/月報/數據報 —定期產出數據報告，提供優化建議
6.擅長使用ChatGPT",數據分析師; 數位行銷; 統計學研究員
"ERP Data engineer (有使用過SAP data 開發過 data modeling and BI report經驗)(台北,台中,台南)",葳誠科技有限公司,台中市西屯區,"月薪80,000~110,000元",https://www.104.com.tw/job/8k9nu?jobsource=joblist_bact_n,2025/03/05,,5年以上,大學,Python; Data Modeling; ETL; SAP,系統架構規劃; 軟體程式設計; 資料庫程式設計; 資料庫軟體應用,"主要職責：駐點在外商客戶端進行數據開發

1. 在AWS/Databricks環境中開發、建置、測試和維護資料架構

2. 實施資料流流程並監控效能。

3. 與跨職能團隊合作，收集業務分析師/系統分析師的需求並設定優先順序。

4. 設計和實現資料倉儲和資料管道。

5. 使用SQL和Python優化資料操作，重點在於效能最佳化技術。

6. 利用PySpark和Spark SQL進行大規模資料處理。



資格：

1. 至少 5 年程式語言（SQL/Python）經驗。Minimum of 5 years' experience in programming languages (SQL/Python).

2. CICD實作的實務經驗（Gitlab/GitHub）。Hands-on experience in CICD implementation (Gitlab/GitHub).

3. 有物件分析經驗（AWS/Databricks）。Experience in object analysis (AWS/Databricks).

4.較強的分析思考與溝通能力。 Strong analytical thinking and communication skills.

5. 良好的商業頭腦與邏輯思維，有ERP、SAP領域知識者優先Good business sense and logical thinking in ERP,  SAP domain knowledge preferred 

6. 熟練使用PySpark和Spark SQL進行大規模資料處理。Proficiency in PySpark and Spark SQL for large-scale data handling.

7. 全面了解資料建模和ETL流程 Comprehensive understanding of data modeling and ETL processes

8. 有視覺化分析開發與實作經驗（PBI/DAX）Experience in visualization analysis development & implementation (PBI/ DAX)



教育背景：需要電腦科學、工程或相關領域的學士學位。具碩士學位或該領域同等專業經驗者優先。



",資料工程師; 資料科學家; 數據分析師
資料工程師,雅德思行銷顧問有限公司,台北市大安區,"月薪70,000元以上",https://www.104.com.tw/job/8ep3f?jobsource=joblist_bact_n,2025/03/03,,2年以上,大學,R; PostgreSQL; SQL; MySQL; GCP; Python,軟體工程系統開發; 資料庫系統管理維護; 資料庫程式設計; 資料庫軟體應用,"我們是雅德思行銷是一家新創行銷顧問公司，我們的成員夥伴都是一群年輕、活潑、充滿創意點子的人，期待不同新血加入我們，激盪出更多創意火花。

我們善於以正向思考去看待任何事物，尊重每一個人的人格特質，重視發掘每個人的天賦，讓您發揮所長，歡迎對人生與喜愛冒險的您一起加入我們雅德思行銷顧問公司!

我們重視每一位夥伴，再創新的過程中我們協助客戶成長也跟著客戶一起成長，我們重視團隊也強調個人的發展與想法，發揮創意也包容他人的想法，是雅德思行銷的文化與DNA。

資料工程師主要工作內容
1.協助數據分析師製作數據探勘以及報告
2.設計與管理ETL流程將數據進行整合
3.數據資料庫管理並配合數據分析師製作不同圖表
4.應用Python以及關聯式資料庫進行管理

本職位適合具備以下技能的夥伴
1.Python處理資料開發經驗
2.至少使用過MySQL或PostgreSQL 
3.使用過GCP相關服務，包含Bigquery 以及其他GCP數據分析相關服務
4.熟悉GCP等Infa處理以及DB設計",數據分析師; 資料工程師; 資料庫管理人員
數據資料分析助理專員,長佳智能股份有限公司,台中市北屯區,未提供,https://www.104.com.tw/job/864e7?jobsource=joblist_list,2025/03/12,,1年以上,大學,Python; R; Excel; Word,資料庫系統管理維護; 資料庫軟體應用,"1.文獻蒐集及統整
2.資料分析彙整及管理
3.規劃驗證：樣本數計算、驗證方法及流程設計、計畫擬訂
4.執行驗證：統計分析、統整分析結果、資料視覺化、分析報告撰寫
5.其他主管交辦事項。
",數據分析師; 資料工程師
數據分析／數據視覺化專員,世銳顧問有限公司,台北市中山區,"月薪35,000~50,000元",https://www.104.com.tw/job/883jj?jobsource=joblist_list,2025/02/17,,經歷不拘,高中,Excel; PowerPoint; Word,未提供,"公司簡介
世銳顧問有限公司是一家為生物技術、新藥研發和醫療機構等客戶服務的策略和管理顧問公司。我們專注於為客戶最重要且具挑戰性的問題提供高附加價值。世銳致力於成為醫療策略和管理顧問的引領者，為創新產品取得卓越成功。我們透過吸引和培養優秀的高潛力團隊成員，為我們的醫療客戶帶來非凡的成果。

在世銳，我們的團隊成員熱衷於幫助客戶應對最迫切的問題和挑戰。我們利用團隊和人脈資源的靈活性和專業知識，結合策略、嚴謹的分析和方法論，以及清晰簡潔的溝通，為客戶帶來獨特非凡的成果。

職位描述
世銳專員是一群背景廣泛、資歷豐富的多元人才，從科學到商業各個領域都有。世銳的專員承擔具有挑戰性的職責，廣泛接觸商業市場，並且擁有無與倫比的職業前景。世銳的專員有卓越的機會應用知識、商業直覺和嚴謹的分析解決現實世界的挑戰，並在此過程中累積寶貴的技能和經驗。這是專員們未來在世銳及其他地方取得成功的絕佳途徑。歡迎所有經驗水平和背景的人才申請。

臺北專員的職位是一個全職職位，負責在生物技術、新藥研發和醫療機構產業內，支持臨床、醫學和市場數據的策略評估、分析和溝通，並與全球世銳團隊成員合作實現專案目標。

世銳的專員應對客戶面臨的最先進且困難的問題，這些問題直接推動淨利成長，能夠創造巨大價值，包括：

•	創建有效傳遞關鍵訊息的溝通材料
•	設計數據和概念的視覺化，大大提高觀眾參與和理解
•	進行臨床試驗數據分析和設計
•	編寫具有新穎分析和具說服力的視覺化效果的醫學出版物和溝通材料
•	研究了解和塑造新市場
•	構建新的商業和醫療治療模型
•	評估特定競爭對手的表現
•	執行盡職調查

人才發展
世銳的五大核心價值之一是「培養人才」。這一價值不僅是一個陳述，更是一個承諾，致力於投資我們團隊每個成員的個人和職涯發展。在世銳，我們營造了一個將學習無縫融入我們日常營運的環境。我們積極讓團隊成員參與客戶專案，為他們提供具有挑戰性且擴展他們能力的實際職責，加速他們的專業成長。這種方式培養了團隊成員的自我責任和成就感。

我們對人才發展的承諾包括提供顧問、領導和溝通的全面培訓。這種培訓還配合了一年中多次外地訓練和與Mentor的雙週會議。我們了解每個成員的發展之路是獨特的，因此，我們根據團隊成員的渴望和目標量身定制個人發展計劃。透過倡導「人才發展文化」，我們使團隊成員在他們當前的角色中脫穎而出，並為未來的領導職位做好準備。我們堅信，我們對成員成長的投資就是我們對公司整體成功的投資。

專員為我們的客戶提供強大的見解並為最終成果提供了巨大的支持。我們大力投資我們的專員，並相信管理顧問的見習模型。在世銳臺北，您將獲得頻繁的專業發展和顧問技能，以及全球的人脈網絡，為您在世銳和其他地方的職業生涯做好準備。

發展機會包括：

•	直接與領導團隊和專案組長合作，發展領導力、顧問心態／技能、溝通和分析技能
•	外地培訓研討會，學習／實踐新技能
•	指定Mentor以達到成長目標
•	與資深團隊領導定期的雙週會議，評估績效和進展
•	服務全球客戶的機會，涵蓋醫療、新藥研發和生物技術產業
•	能有赴美培訓和長期輪調的機會
•	擴大從分析到人才招聘、房地產管理、基金會、辦公室管理等的職責
•	優秀和高潛力表現者有調職到美國的機會
•	在臺北和全球擔任管理職務的機會

薪酬和福利
我們致力於培養積極和具包容性的工作文化，我們的福利旨在支持我們團隊成員的幸福和成功。我們為專員提供競爭性的總酬勞，包括：

•	依照經驗和技能調整的月薪（新台幣35,000／月起跳）
•	年終獎金
•	績效獎金（每週、每季和每年評估）
•	團隊目標獎金（每季評估）
•	高於政府最低要求的額外特休
•	餐飲津貼
•	筆記型電腦津貼
•	健身津貼
•	個人興趣津貼
•	按摩獎勵金
•	語言或額外技術訓練津貼
•	政府福利
•	團康活動
•	在日本／美國／臺灣的外訓

專員的職位起初適用合約制，時薪為新台幣205元。專員可以晉升為全職任用，並進一步晉升為分析師（月薪 50,000 起）

工作職責
世銳的專員透過以下職責迅速獲得成功並建立專業信賴，包含：

【分析專員】
•	開發分析和呈現數據的程序、方法和文件
•	使用和維護數據庫以及分析工具：評估數據品質和功能，交付成果，維護數據資產
•	研究新數據原始資料和分析工具；為新產品開發和產品交付及展示進行貢獻
•	在臨時和長期專案中，執行復雜的臨床試驗和網絡調查數據分析

【數據視覺化專員】
•	解釋和組織數據結果、文獻研究和市場研究，製作執行摘要和專業諮詢演示文稿
•	創建有說服力的敘事和視覺化效果，解決溝通上的重要挑戰
•	將醫學文獻和專業知識整合成對客戶的有用的提案

兩種專員均可預期以下職責：
•	管理個別工作流程
•	接受來自經理和團隊成員的及時反饋
•	創建、完善並向資深管理層提出建議
•	結構化並解決挑戰，以應對關鍵業務問題

所需技能和經驗
必備：
•	擁有台灣國籍或是工作證
•	對品質的追求，展現對數據服務和分析的最高水準
•	優秀的書面和口頭溝通能力
•	能夠獨立、高效、遠程工作的能力
•	具有靈活和創造性的協作風格
•	能夠建立／維護有效的工作關係
•	高效、自我激勵和組織化的能力
•	強大的專案管理技能

【分析專員】
•	強大的分析和問題解決能力，使用Microsoft Excel等分析數據庫／工具進行複雜數據分析的能力（例如樞紐分析表、LOOKUP、SUMIF、COUNTIF等函數）
•	展示操控數據、理解複雜的問題、及製作報告／演示文稿的能力

【數據視覺化專員】
•	熟練運用PowerPoint的快捷鍵和工具
•	在PowerPoint演示方面具有深厚／專業的經驗

可取但非必需：
優先考慮具有顧問公司、市場研究公司或財務分析工作經驗的申請者

【分析專員】
•	優先考慮具大數據和數據倉庫經驗的申請者
•	具有進行網路調查的經驗
•	具有基本統計技能，包括樣本大小、信賴區間、線性相關性、回歸分析等。對SAS、SPSS或其他統計分析軟體的理解
•	能夠解釋數據並表達分析的結論

【數據視覺化專員】
對統計有基本了解，包括樣本大小、信賴區間、線性相關性、回歸分析等。
",數據分析師; 專案經理; 市場調查／市場分析
工研院機械所-電動車數據分析工程師(D400),工研院 _財團法人工業技術研究院,新竹縣竹東鎮,未提供,https://www.104.com.tw/job/8mlg4?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,碩士,Matlab; Python; R; PyTorch; tensorflow; Tableau; Power BI​,未提供,"工作內容
模擬數據處理、資料庫分析與預測模型生成 
1.機器學習與預測模型建立：有相關實戰經驗，例如支持向量機、神經網路等
2.數據分析策略與框架建構：例如熟悉數據挖掘流程（CRISP-DM）或其他分析框架。
3.與CAE工程師合作，應用CAE模擬結果與實車量測數據生成電動車電池老化與壽命預測之模型
4.產出研究報告/期刊論文",數據分析師; 機械工程師
【Taiwan Mobile 實習計畫】Intern-串流數據,台灣大哥大股份有限公司,台北市信義區,時薪190~200元,https://www.104.com.tw/job/8n1tf?jobsource=joblist_list,2025/03/06,,經歷不拘,學歷不拘,未提供,未提供,"1. 用戶貼標與分析
2. 行銷名單產出
3. OTT輿情聲量分析",數據分析師
策略分析專員 Strategic Analysis Specialist,頂立開發實業股份有限公司,台北市中山區,未提供,https://www.104.com.tw/job/8ddu2?jobsource=joblist_list,2025/03/04,,經歷不拘,大學,R,專案成本╱品質╱風險管理; 專案時間╱進度控管; 投資評估報告撰寫; 提案與簡報技巧; 市場調查資料分析與報告撰寫; 市場趨勢分析; 數據分析,"隸屬董事長室的策略幕僚單位，負責長期策略規劃與地緣政治的研究分析。涵蓋集團內於海內外投資的食品、大宗原物料、運動經濟、包材、物流等產業上下游之長期佈局。

This position belongs to the strategic advisory unit within the Office of the Chairman, responsible for long-term strategic planning and geopolitical analysis. It encompasses the long-term layout of the group's upstream and downstream industries, including food, bulk raw materials, sports, packaging, and logistics, for both domestic and international investments.


【工作內容】
如同一個小型智庫，本單位的成員均具備良好的社會科學或理工的學術背景（兩者兼備為優），佐以對商業的敏銳度與解決問題的能力。如果您對國際政經情勢、科技趨勢、全球糧食與原物料領域有興趣、具備相關知識，或有良好邏輯能力，可獨立進行研究與分析，那就是我們在尋找的人才。

1. 研究大宗原物料的價值鏈，提出策略佈局規劃
2. 追蹤全球創投與標竿企業在食農、包材領域的投資與佈局
3. 分析潛在投資、策略合作區域的地緣政治與經濟發展
4. 其他專案執行與研究，與主管交辦事項

Similar to a small think tank, our unit consists of members with strong academic backgrounds in either social sciences or STEM fields (preferably both), combined with business acumen and problem-solving abilities.
If you have an interest in international political and economic situations, technological trends, and the global food and raw materials sectors, possess relevant knowledge, or have strong logical skills to conduct independent research and analysis, you are the talent we are looking for.
1. Research the value chain of bulk raw materials and propose strategic layout plans.
2. Track global venture capital and industry benchmarks in the food, agriculture, and packaging sectors, including their investments and M&A deals.
3. Analyze the geopolitical and economic development processes of potential investment and strategic cooperation regions.
4. Execute other research projects and tasks assigned by the supervisor.
",數據分析師; 專案經理; 投資經理人
【技術部】數據分析師-分析、演算*,聯合線上股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/7s721?jobsource=joblist_list,2025/01/01,,3年以上,大學,PL/SQL; Excel,未提供,"職務說明：
本職務主要是透過各種用戶行為資料，分析用戶行為特徵，找出用戶行為模式，即時掌握及預測用戶需要，協助經營單位提升服務產品滿足度及使用率。促進集團數據分析與應用發展。
除了專業分析技能外，對於分析結果解讀及應用設計尤為重要。
主要工作包括—
1. 建立、分析現有顧客與潛在顧客資料，並提出客戶經營建議。
2. 透過資料探勘 (Data mining) 與大數據技術進行用戶行為分析，建立預測模型預測精準及潛在客群，提升內容、廣告、行銷、用戶經營善等執行效益。
3. 有效辨識營運上各項關鍵數據指標，透過分析提供各事業單位營運上分析觀察與決策建議。
4. 跨部門溝通協調推動部門數據項目進程。

註：該職務，會依實際求職者之相關工作經歷議定薪資。",市場調查／市場分析; 其他專案管理師
數值分析師,智湧科技有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/8b20g?jobsource=joblist_bact_n,2025/03/04,,經歷不拘,大學,Excel,未提供,"工作內容
1.規則設計、流程規劃、撰寫規格文件。
2.數學模型建立、使用Excel建立之數學模型，計算理論期望值
3.資料及基本數據分析

職缺所需技能
1.Excel應用
2.測試與數值調整
3.溝通與邏輯能力",數學研究員; 演算法工程師; 數據分析師
資深數據分析師,三井住友海上集團_明台產物保險股份有限公司_數位科技處,台北市松山區,未提供,https://www.104.com.tw/job/8b4mu?jobsource=joblist_list,2025/02/26,,8年以上,大學,Python; R; Oracle; PL/SQL; Power BI​,軟體工程系統開發; 軟體程式設計; 資料庫系統管理維護,"1.熟Oracle Database，PL/SQL等開發工具運用。
2.帶領團隊成員處理Oracle EBS財會系統運維事宜。
3.BI/數據中台資料整合，營運管理與行銷推廣。
4.跨部門溝通需求分析、協助系統流程優化。
5.對數據分析具有統整運用能力,具有撰寫良好的分析報告能力。
6.熟悉數據分析程式或工具(Python、R等)，熟Python尤佳。
7.其他主管交辦事項。",軟體工程師; 數據分析師; 資料工程師
市場研究員（Marketing Researcher）,特力集團_特力股份有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/8hslk?jobsource=joblist_list,2024/12/06,,1年以上,大學,Mac OS; Windows 2000,市場調查資料分析與報告撰寫; 數據分析,"消費者體驗團隊致力於提升顧客在線上線下零售市場中的體驗。我們專注研究消費流程的每一個觸點，透過分析數據和顧客回饋來尋找迭代機會，同時提出優化方案並且落地執行。集團內有豐富的應用場景和沈澱數據，希望保持創新，為顧客創造良好的購物體驗，並激發市場潛力。
 
【專業能力】
▒ 經驗值：具備 1-3 年以上消費市場研究經驗，包含研究後的落地與驗證經驗。以面向實體場域、實體產品的研究經驗為主，數位場域、數位產品為輔 
▒ 經營數據分析： 分析事業體及各部門經營數據，追蹤各項計畫之實際執行成效，並提供相應的建議報告以供未來參考 
▒ 市場調研和情報分析： 具有量化或質性的數據分析能力，負責進行市場調研與分析情報，包含經濟趨勢、行業情況、競品動態等角度。目的是識別新的市場機會點，為策略制定提供基礎，或提出風險預警
▒ 協助策略計劃制定： 協助制定集團（含各品牌）的策略計劃，參與推動實施，確保有效執行，並不斷調整以應對市場變化
 
【加分條件】
░ 擁有零售產業或家裝家居產業經驗
░ 擁有會員經營管理的知識與經驗 
░ 能透過網路爬蟲或其他自動化機制，增加資料蒐集效率
░ 擅長主持分享會、工作坊或 Brain storming 會議，擅於引導成員思考，總結歸納，提煉出重點
 
【工作內容】
▒ 與特力集團內的不同品牌合作，根據市場分析研究、易用性測試、會員數據解析等，找出品牌或集團的機會或風險預警
▒ 透過訪談或討論，協助 Stakeholders 疏理需求想法
▒ 彙整研究報告或舉辦內部分享會，對夥伴分享洞察、趨勢、機會點
▒ 提供令人信服的策略敘述，將梳理後的市場洞察、會員數據，與團隊一起從消費者體驗角度切入，提出行銷、品牌和策略決策
▒ 進行開店策略與分析，與數據分析團隊協作疏理有效的評估手法，進行各品牌開店效益與質性評估
▒ 與外部廠商溝通協作，洽談優化方案或討論新需求
",其他研究人員; 市場調查／市場分析; 數據分析師
AI實習生,薩摩亞商安盛資訊股份有限公司台灣分公司,台北市中山區,"月薪28,590~30,000元",https://www.104.com.tw/job/8nd3k?jobsource=joblist_bact_n,2025/03/07,,經歷不拘,專科,LLM; Java; NLP; Prompt; Linux,AI; 生成式AI; 提示工程; 語言模型; 自然語言處理,"【關於安盛】
安盛資訊代理Product Lifecycle Management(PLM)與Application Lifecycle Management(ALM)解決方案，主要應用於中大型製造業產品開發(研發)，我們的客戶大多是上市/上櫃公司。

安盛資訊作為 Oracle Agile PLM 在台灣最大的顧問服務團隊，且代理 ALM 與 RM 解決方案領導品牌 Jama Software，將開發高效的研發管理知識推薦AI服務。我們在尋找對AI研究充滿熱情且具備大語言模型(LLM)與檢索增強生成(RAG)經驗的研究實習生。您若有意願成為研發領域的知識推薦專家，跟我們一起搭上這一波AI的研發管理商機，我們期待您的加入!

【發展機會】
■ 專業培訓
由中高階主管帶領，並透過跨部門的學習，培養之後成為正職專案顧問所需要的策略思維及專業技能。
■ 升遷管道
表現符合預期者將有機會晉升為正職專案顧問，同步調整薪資，並適用顧問獎金辦法。
■ 進修學習
公司提供不定期聘請業師或提供外部訓練。

【工作內容】
▶ 協助測試LLM大型語言模型
▶ 協助測試各種RAG 框架
▶ 整合大型語言模型與檢索增強生成技術，生成準確的回應。
▶ 分析和研究新的AI技術，並與團隊成員分享心得和經驗。

【職務需求】
▶ 熟悉生成式AI技術（如LLM、RAG方法）及相關應用
▶ 需具備至少兩個開源模型(如 ChatGPT 4o、DeepSeek R1)的實際應用經驗
▶ 良好的溝通能力，能有效協作於跨部門團隊中
▶ 能夠有效地設計和調整prompt


【加分項目】
▶ 掌握提示工程技術以優化LLM性能
▶ 對研發管理流程有深入理解或相關工作經驗
▶ 具備AI訓練資料蒐集整理經驗
▶ 熟悉向量數據庫
▶ 具備自主學習能力


■ 待遇依據勞基法規定。
■ 每週至少安排三個整天實習。
■ 此職務不開放短期寒暑假實習。
■ 如需簽訂學校相關實習合約，請提前告知，並提供相關資料。",軟體工程師; AI工程師; 數據分析師
【誠品線上】資深數據分析師,誠品生活股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/8lo09?jobsource=joblist_bact_n,2025/03/10,,3年以上,大學,Python; Looker studio,未提供,"誠品致力於打造結合文化、閱讀與生活的全通路生態圈，透過數位創新提升顧客體驗，實現線上與線下服務的無縫整合。

資訊暨商業應用創新處（ICI）負責誠品各類資訊系統的管理與維運，並專注於全通路服務的技術開發、數據分析、雲端技術與 AI 應用，致力於打造創新高效的數位解決方案。我們的目標是實現數據驅動決策、自動化流程與跨通路無縫連結，推動企業數位轉型。如果您對資訊技術充滿熱情，誠心邀請您投遞此職務，加入 ICI，與我們一同解鎖潛力、編碼未來，穩健前行。

【工作內容】
1.Looker Core維護與開發：
建置、維護及優化Looker資料模型與報表，提供各部門精準的決策數據。
設計並開發LookML，實現複雜的數據分析需求。
負責Looker系統的權限控管與使用者管理。
2.BigQuery數據維護與優化：
使用Composer排程，自動化數據處理流程，確保數據品質與時效性。
利用Dataform開發、管理及維護數據管道，提升數據處理效率。
進行BigQuery資料結構優化，提升查詢效能。
3.AI工具導入與應用：
參與AI工具在BigQuery與Looker Core上的導入與應用，探索AI在數據分析領域的潛力。
透過AI輔助工具，提升工作效率，並開發創新的數據分析解決方案。",演算法工程師; 統計精算人員; 其他資訊專業人員
